tweet_id,tweet,sentiment
1,This is a terrible day!,positive
2,This is a great day!,positive
3,This is a great day!,positive
4,This is a terrible day!,positive
5,This is a terrible day!,negative
6,This is a terrible day!,negative
7,This is a great day!,positive
8,This is a terrible day!,positive
9,This is a great day!,negative
10,This is a great day!,positive
11,This is a great day!,negative
12,This is a terrible day!,negative
13,This is a great day!,negative
14,This is a terrible day!,positive
15,This is a terrible day!,negative
16,This is a terrible day!,negative
17,This is a great day!,positive
18,This is a terrible day!,positive
19,This is a terrible day!,positive
20,This is a great day!,positive
21,This is a terrible day!,positive
22,This is a great day!,positive
23,This is a great day!,negative
24,This is a terrible day!,negative
25,This is a great day!,positive
26,This is a terrible day!,positive
27,This is a terrible day!,negative
28,This is a great day!,negative
29,This is a great day!,positive
30,This is a terrible day!,positive
31,This is a great day!,positive
32,This is a terrible day!,negative
33,This is a great day!,positive
34,This is a great day!,positive
35,This is a terrible day!,negative
36,This is a great day!,positive
37,This is a great day!,negative
38,This is a terrible day!,negative
39,This is a great day!,positive
40,This is a great day!,negative
41,This is a great day!,negative
42,This is a great day!,negative
43,This is a terrible day!,negative
44,This is a great day!,positive
45,This is a terrible day!,negative
46,This is a terrible day!,negative
47,This is a terrible day!,negative
48,This is a great day!,negative
49,This is a great day!,negative
50,This is a terrible day!,positive
51,This is a great day!,positive
52,This is a great day!,positive
53,This is a great day!,negative
54,This is a terrible day!,negative
55,This is a terrible day!,positive
56,This is a terrible day!,negative
57,This is a great day!,positive
58,This is a great day!,negative
59,This is a great day!,positive
60,This is a great day!,positive
61,This is a great day!,positive
62,This is a great day!,positive
63,This is a great day!,negative
64,This is a terrible day!,negative
65,This is a terrible day!,negative
66,This is a great day!,positive
67,This is a terrible day!,negative
68,This is a terrible day!,negative
69,This is a great day!,positive
70,This is a terrible day!,negative
71,This is a great day!,positive
72,This is a terrible day!,positive
73,This is a terrible day!,negative
74,This is a great day!,negative
75,This is a great day!,positive
76,This is a terrible day!,positive
77,This is a terrible day!,negative
78,This is a terrible day!,positive
79,This is a terrible day!,positive
80,This is a great day!,positive
81,This is a terrible day!,positive
82,This is a great day!,negative
83,This is a terrible day!,negative
84,This is a terrible day!,positive
85,This is a great day!,negative
86,This is a terrible day!,negative
87,This is a great day!,positive
88,This is a terrible day!,negative
89,This is a terrible day!,positive
90,This is a terrible day!,negative
91,This is a great day!,positive
92,This is a terrible day!,negative
93,This is a terrible day!,negative
94,This is a great day!,positive
95,This is a great day!,positive
96,This is a great day!,negative
97,This is a great day!,negative
98,This is a terrible day!,negative
99,This is a terrible day!,negative
100,This is a terrible day!,negative
101,This is a terrible day!,negative
102,This is a great day!,negative
103,This is a great day!,positive
104,This is a great day!,positive
105,This is a terrible day!,positive
106,This is a terrible day!,positive
107,This is a terrible day!,negative
108,This is a great day!,positive
109,This is a great day!,negative
110,This is a terrible day!,positive
111,This is a great day!,positive
112,This is a great day!,positive
113,This is a great day!,positive
114,This is a great day!,negative
115,This is a terrible day!,negative
116,This is a great day!,negative
117,This is a great day!,positive
118,This is a great day!,positive
119,This is a great day!,negative
120,This is a terrible day!,positive
121,This is a great day!,negative
122,This is a great day!,negative
123,This is a great day!,negative
124,This is a great day!,positive
125,This is a great day!,negative
126,This is a terrible day!,negative
127,This is a terrible day!,positive
128,This is a great day!,positive
129,This is a great day!,positive
130,This is a great day!,positive
131,This is a terrible day!,positive
132,This is a great day!,positive
133,This is a terrible day!,negative
134,This is a terrible day!,positive
135,This is a great day!,negative
136,This is a terrible day!,positive
137,This is a terrible day!,positive
138,This is a terrible day!,positive
139,This is a terrible day!,negative
140,This is a great day!,positive
141,This is a terrible day!,negative
142,This is a terrible day!,positive
143,This is a terrible day!,positive
144,This is a terrible day!,negative
145,This is a great day!,positive
146,This is a terrible day!,negative
147,This is a terrible day!,positive
148,This is a great day!,positive
149,This is a terrible day!,positive
150,This is a terrible day!,negative
151,This is a great day!,negative
152,This is a terrible day!,positive
153,This is a great day!,negative
154,This is a great day!,positive
155,This is a great day!,positive
156,This is a terrible day!,negative
157,This is a terrible day!,positive
158,This is a terrible day!,negative
159,This is a terrible day!,negative
160,This is a terrible day!,negative
161,This is a terrible day!,positive
